"team","state","year","value","supplier","access_date","source"
"Fluminense","RJ","2020","259.90","Umbro","2025-01-05","https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html"
"Fluminense","RJ","2023","279.90","Umbro","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
"Grêmio","RS","2013","209.00","Topper","2025-02-17","https://www.uol.com.br/esporte/futebol/campeonatos/libertadores/ultimas-noticias/2013/02/14/gremio-lanca-camisa-especial-para-libertadores-com-tons-de-dourado-no-uniforme.htm"
"Grêmio","RS","2014","229.90","Topper","2025-02-17","https://gauchazh.clicrbs.com.br/geral/noticia/2014/04/gremio-inicia-pre-venda-de-sua-nova-camisa-inspirada-no-modelo-de-1928-4477350.html"
"Grêmio","RS","2015","239.00","Umbro","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
"Grêmio","RS","2016","239.90","Umbro","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"Grêmio","RS","2017","239.90","Umbro","2025-02-17","https://ge.globo.com/rs/futebol/times/gremio/noticia/com-tons-de-azul-marinho-gremio-lanca-terceira-camisa-veja.ghtml"
"Grêmio","RS","2018","299.90","Umbro","2025-02-17","https://gauchazh.clicrbs.com.br/esportes/gremio/noticia/2018/04/gremio-lanca-camisa-branca-para-a-temporada-2018-cjg47c6go00ua01qoswca9das.html"
"Grêmio","RS","2019","249.90","Umbro","2025-02-17","https://gremio.net/noticias/detalhes/22413/gremio-e-umbro-lancam-novas-camisas-para-a-temporada-2019"
"Grêmio","RS","2020","259.90","Umbro","2025-01-05","https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html"
"Grêmio","RS","2021","279.90","Umbro","2025-02-17","https://gremio.net/news/detalhes/24625/gremio-e-umbro-lancam-a-terceira-camisa-da-temporada-2021--"
"Grêmio","RS","2022","299.90","Umbro","2025-02-17","https://gremio.net/noticias/detalhes/25615/no-mes-em-que-o-gremio-completa-119-anos--umbro-anuncia-a-celeste-como-a-terceira-camisa-da-temporada-"
"Grêmio","RS","2023","349.90","Umbro","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
"Grêmio","RS","2024","349.00","Umbro","2025-02-17","https://www.gaz.com.br/gremio-lanca-nova-camisa-2024-em-homenagem-aos-35-anos-da-primeira-copa-do-brasil/"
"Internacional","RS","2014","229.90","Nike","2025-01-05","https://www.uol.com.br/esporte/futebol/ultimas-noticias/2014/08/01/inter-lanca-nova-camisa-sem-festa-e-com-modelo-mais-tradicional.htm"
"Internacional","RS","2015","229.00","Nike","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
"Internacional","RS","2016","399.90","Nike","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"Internacional","RS","2020","249.99","Adidas","2025-01-05","https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html"
"Internacional","RS","2023","349.90","Adidas","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
"Atlético-MG","MG","2013","200.00","Lupo","2025-01-05","https://esportes.r7.com/futebol/fotos/valores-de-camisas-de-times-brasileiros-valem-mais-que-as-de-europeus-entenda-07082013/"
"Atlético-MG","MG","2015","229.00","Puma","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
"Atlético-MG","MG","2016","229.90","Dryworld","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"Atlético-MG","MG","2020","259.99","Le Coq Sportif","2025-01-05","https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html"
"Atlético-MG","MG","2023","349.99","Adidas","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
"Cruzeiro","MG","2015","199.00","Penalty","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
