"team","state","year","value","value_int","supplier","value_add_05","value_add_10","value_add_15","value_sub_05","value_sub_10","value_sub_15","wage_value","wage_value_percent","wage_value_percent_int","ipca_value","access_date","source"
"Fluminense","RJ","2015","179.0","179","Adidas","187","196","205","170","161","152","788.0","22.72","22","10.67","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
"Fluminense","RJ","2016","229.9","229","Dryworld","240","251","263","217","206","194","880.0","26.02","26","6.29","2025-01-05","https://www.flaresenha.com/camisa-do-flamengo-e-a-4-mais-cara-do-vasco-a-mais-barata"
"Fluminense","RJ","2017","249.0","249","Under Armour","261","273","286","236","224","211","937.0","26.57","26","2.95","2025-02-23","https://ge.globo.com/futebol/times/fluminense/noticia/inspiradas-na-maquina-novas-camisas-do-flu-sao-aprovadas-por-conselheiros.ghtml"
"Fluminense","RJ","2019","249.9","249","Under Armour","261","273","286","236","224","211","998.0","24.95","24","4.31","2025-02-23","https://www.lance.com.br/fluminense/passa-por-cima-nova-camisa-abre-venda-oficialmente.html"
"Fluminense","RJ","2020","259.9","259","Umbro","271","284","297","246","233","220","1045.0","24.78","24","4.52","2025-01-05","https://web.archive.org/web/20201028172807/https://www.terra.com.br/esportes/futebol/estudo-mostra-que-a-camisa-do-vasco-e-a-mais-cara-do-brasil-mas-a-44-na-america-confira-a-lista,d2aa9a9a3a734a709e5ea1c837973a87qpes0zc4.html"
"Fluminense","RJ","2021","269.9","269","Umbro","282","295","309","255","242","228","1100.0","24.45","24","10.06","2025-02-23","https://ge.globo.com/futebol/times/fluminense/noticia/fluminense-lanca-nova-camisa-branca.ghtml"
"Fluminense","RJ","2022","239.9","239","Umbro","250","262","274","227","215","203","1212.0","19.72","19","5.79","2025-02-23","https://www.fluminense.com.br/noticia/fluminense-vende-mais-de-16-mil-pecas-da-nova-camisa-em-tres-dias"
"Fluminense","RJ","2023","279.9","279","Umbro","292","306","320","265","251","237","1320.0","21.14","21","4.62","2025-01-05","https://ge.globo.com/futebol/noticia/2023/04/14/camisas-do-brasileirao-2023-veja-as-mais-caras-e-vote-na-mais-bonita.ghtml"
"Fluminense","RJ","2024","349.99","349","Umbro","366","383","401","331","314","296","1412.0","24.72","24","4.83","2025-02-23","https://www.loja.fluminense.com.br/camisa-fluminense-of2-superbet-2024--torcedor-s-n-umbro/p"
"Grêmio","RS","2013","209.0","209","Topper","219","229","240","198","188","177","678.0","30.83","30","5.91","2025-02-17","https://www.uol.com.br/esporte/futebol/campeonatos/libertadores/ultimas-noticias/2013/02/14/gremio-lanca-camisa-especial-para-libertadores-com-tons-de-dourado-no-uniforme.htm"
"Grêmio","RS","2014","229.9","229","Topper","240","251","263","217","206","194","724.0","31.63","31","6.41","2025-02-17","https://gauchazh.clicrbs.com.br/geral/noticia/2014/04/gremio-inicia-pre-venda-de-sua-nova-camisa-inspirada-no-modelo-de-1928-4477350.html"
"Grêmio","RS","2015","239.0","239","Umbro","250","262","274","227","215","203","788.0","30.33","30","10.67","2025-01-05","https://colunadofla.com/2015/01/os-precos-das-camisas-dos-12-grandes-do-futebol-brasileiro/"
